Keyword1,Keyword2,Weight
Self-supervised learning,Transformers,1
Adversarial machine learning,Face recognition,1
Adversarial machine learning,Faces,1
Adversarial machine learning,Feature extraction,1
Adversarial machine learning,Lips,1
Adversarial machine learning,Multitasking,1
Adversarial machine learning,Semantics,1
Face recognition,Lips,1
Face recognition,Multitasking,4
Face recognition,Semantics,5
Faces,Feature extraction,12
Faces,Lips,2
Faces,Multitasking,1
Faces,Semantics,3
Feature extraction,Lips,2
Lips,Multitasking,1
Lips,Semantics,2
Multitasking,Semantics,1
Analytical models,Computational modeling,18
Analytical models,Data models,6
Analytical models,Data visualization,1
Analytical models,Ethics,1
Analytical models,Faces,1
Analytical models,Gold,1
Computational modeling,Data visualization,2
Computational modeling,Ethics,4
Computational modeling,Faces,4
Data models,Data visualization,1
Data models,Ethics,3
Data models,Faces,2
Data models,Gold,6
Data visualization,Ethics,1
Data visualization,Faces,1
Data visualization,Gold,1
Ethics,Faces,2
Ethics,Gold,1
Faces,Gold,3
Computational modeling,Feature extraction,34
Computational modeling,Transformers,5
Feature extraction,Psychology,24
Feature extraction,Transfer learning,5
Psychology,Task analysis,14
Psychology,Transfer learning,1
Psychology,Transformers,1
Psychology,Visualization,12
Transfer learning,Visualization,1
Emotion recognition,Ethics,9
Emotion recognition,Guidelines,2
Emotion recognition,Reliability,5
Emotion recognition,Technological innovation,1
Emotion recognition,Usability,1
Emotion recognition,Wearable devices,1
Ethics,Guidelines,2
Ethics,Reliability,2
Ethics,Technological innovation,1
Ethics,Usability,1
Ethics,Wearable devices,1
Guidelines,Reliability,1
Guidelines,Technological innovation,1
Guidelines,Usability,1
Guidelines,Wearable devices,1
Reliability,Technological innovation,1
Reliability,Usability,1
Reliability,Wearable devices,1
Technological innovation,Usability,1
Technological innovation,Wearable devices,1
Usability,Wearable devices,1
Face recognition,Manuals,2
Face recognition,Optical imaging,4
Face recognition,Proposals,1
Face recognition,Training,33
Feature extraction,Manuals,1
Feature extraction,Optical imaging,6
Feature extraction,Proposals,1
Manuals,Optical imaging,1
Manuals,Proposals,1
Manuals,Task analysis,6
Manuals,Training,1
Optical imaging,Proposals,1
Optical imaging,Task analysis,1
Optical imaging,Training,1
Proposals,Task analysis,1
Proposals,Training,1
Deep learning,Emotion recognition,11
Deep learning,Predictive models,3
Deep learning,Semantics,2
Deep learning,Task analysis,12
Deep learning,Training,8
Emotion recognition,Semantics,19
Feature extraction,Predictive models,18
Predictive models,Semantics,4
Predictive models,Training,14
Semantics,Training,12
Acoustics,Computational modeling,3
Acoustics,Context modeling,3
Acoustics,Data mining,1
Acoustics,Data models,3
Acoustics,Emotion recognition,21
Acoustics,Oral communication,1
Computational modeling,Data mining,2
Computational modeling,Oral communication,1
Context modeling,Data mining,4
Context modeling,Data models,4
Data mining,Oral communication,3
Data models,Oral communication,1
Affective computing,Cultural differences,1
Affective computing,Ethics,6
Affective computing,Europe,1
Affective computing,Gender issues,1
Affective computing,Indexes,1
Affective computing,Monitoring,3
Cultural differences,Ethics,1
Cultural differences,Europe,1
Cultural differences,Gender issues,1
Cultural differences,Indexes,1
Cultural differences,Monitoring,1
Ethics,Europe,1
Ethics,Gender issues,1
Ethics,Indexes,1
Ethics,Monitoring,1
Europe,Gender issues,1
Europe,Indexes,1
Europe,Monitoring,1
Gender issues,Indexes,1
Gender issues,Monitoring,1
Indexes,Monitoring,1
Acoustics,Benchmark testing,2
Acoustics,Databases,10
Acoustics,Protocols,2
Acoustics,Recording,1
Acoustics,Urban areas,1
Benchmark testing,Databases,2
Benchmark testing,Protocols,1
Benchmark testing,Recording,1
Benchmark testing,Task analysis,3
Benchmark testing,Urban areas,1
Databases,Protocols,3
Databases,Recording,1
Databases,Urban areas,1
Protocols,Recording,1
Protocols,Task analysis,5
Protocols,Urban areas,1
Recording,Task analysis,1
Recording,Urban areas,1
Task analysis,Urban areas,2
Computational modeling,Robustness,3
Computational modeling,Semantics,12
Computational modeling,Training,20
Computational modeling,Videos,16
Data models,Robustness,1
Data models,Semantics,6
Data models,Videos,3
Robustness,Semantics,4
Robustness,Training,8
Robustness,Transformers,2
Robustness,Videos,1
Semantics,Transformers,2
Semantics,Videos,2
Training,Videos,7
Transformers,Videos,2
Brain modeling,Emotional responses,1
Brain modeling,Independent component analysis,1
Brain modeling,Integrated circuits,1
Brain modeling,Modulation,1
Brain modeling,Task analysis,13
Electroencephalography,Emotional responses,1
Electroencephalography,Independent component analysis,1
Electroencephalography,Integrated circuits,1
Electroencephalography,Modulation,1
Electroencephalography,Task analysis,16
Emotional responses,Independent component analysis,1
Emotional responses,Integrated circuits,1
Emotional responses,Modulation,1
Emotional responses,Task analysis,1
Independent component analysis,Integrated circuits,1
Independent component analysis,Modulation,1
Independent component analysis,Task analysis,1
Integrated circuits,Modulation,1
Integrated circuits,Task analysis,2
Modulation,Task analysis,1
Annotations,Brain modeling,2
Annotations,Crowdsourcing,1
Annotations,Electroencephalography,2
Annotations,Functional near-infrared spectroscopy,1
Annotations,Manuals,1
Annotations,Media,2
Brain modeling,Crowdsourcing,1
Brain modeling,Functional near-infrared spectroscopy,1
Brain modeling,Manuals,1
Brain modeling,Media,2
Crowdsourcing,Electroencephalography,1
Crowdsourcing,Functional near-infrared spectroscopy,1
Crowdsourcing,Manuals,2
Crowdsourcing,Media,1
Electroencephalography,Functional near-infrared spectroscopy,1
Electroencephalography,Manuals,2
Electroencephalography,Media,2
Functional near-infrared spectroscopy,Manuals,1
Functional near-infrared spectroscopy,Media,1
Manuals,Media,1
Face recognition,Pipelines,1
Face recognition,Representation learning,1
Faces,Pipelines,1
Faces,Representation learning,1
Feature extraction,Pipelines,1
Feature extraction,Representation learning,1
Pipelines,Representation learning,1
Pipelines,Visualization,1
Representation learning,Task analysis,2
Representation learning,Visualization,2
Analytical models,Context modeling,6
Analytical models,Correlation,4
Analytical models,Emotion recognition,9
Analytical models,Interference,1
Context modeling,Correlation,4
Context modeling,Interference,1
Context modeling,Sentiment analysis,9
Correlation,Interference,1
Correlation,Sentiment analysis,3
Correlation,Task analysis,9
Emotion recognition,Interference,1
Emotion recognition,Sentiment analysis,17
Interference,Sentiment analysis,1
Interference,Task analysis,1
Data models,Face recognition,9
Data models,Image recognition,2
Data models,Image resolution,1
Data models,Probabilistic logic,3
Data models,Uncertainty,2
Data models,Wheels,1
Face recognition,Image recognition,19
Face recognition,Image resolution,2
Face recognition,Probabilistic logic,3
Face recognition,Uncertainty,3
Face recognition,Wheels,1
Image recognition,Image resolution,1
Image recognition,Probabilistic logic,2
Image recognition,Uncertainty,1
Image recognition,Wheels,1
Image resolution,Probabilistic logic,1
Image resolution,Uncertainty,1
Image resolution,Wheels,1
Probabilistic logic,Uncertainty,1
Probabilistic logic,Wheels,1
Uncertainty,Wheels,1
Annotations,Data models,4
Annotations,Ethics,2
Annotations,Particle measurements,2
Annotations,Reliability,2
Data models,Media,2
Data models,Particle measurements,1
Data models,Reliability,3
Emotion recognition,Media,4
Ethics,Media,2
Ethics,Particle measurements,1
Media,Particle measurements,2
Media,Reliability,1
Particle measurements,Reliability,2
Artificial intelligence,Data models,1
Artificial intelligence,Ethics,4
Artificial intelligence,Games,3
Artificial intelligence,Industries,1
Artificial intelligence,Video games,1
Computational modeling,Games,13
Computational modeling,Industries,1
Computational modeling,Video games,1
Data models,Games,3
Data models,Industries,1
Data models,Video games,1
Ethics,Games,2
Ethics,Industries,1
Ethics,Video games,1
Games,Industries,1
Games,Video games,1
Industries,Video games,1
Computational modeling,Diseases,1
Computational modeling,Employment,1
Computational modeling,Human factors,2
Computational modeling,Load modeling,2
Diseases,Employment,1
Diseases,Human factors,1
Diseases,Load modeling,1
Diseases,Physiology,1
Diseases,Psychology,1
Employment,Human factors,1
Employment,Load modeling,1
Employment,Physiology,1
Employment,Psychology,1
Human factors,Load modeling,1
Human factors,Psychology,5
Load modeling,Physiology,1
Load modeling,Psychology,1
Affective computing,Face recognition,10
Affective computing,Privacy,3
Affective computing,Resists,1
Affective computing,Safety,1
Affective computing,Security,1
Ethics,Face recognition,3
Ethics,Privacy,3
Ethics,Resists,1
Ethics,Safety,1
Ethics,Security,1
Face recognition,Privacy,1
Face recognition,Resists,1
Face recognition,Safety,1
Face recognition,Security,1
Privacy,Resists,1
Privacy,Safety,1
Privacy,Security,1
Resists,Safety,1
Resists,Security,1
Safety,Security,1
Affective computing,Artificial intelligence,4
Affective computing,Human factors,1
Affective computing,Machine learning,4
Affective computing,Modeling,1
Affective computing,Sentiment analysis,4
Affective computing,Simulation,1
Artificial intelligence,Emotion recognition,4
Artificial intelligence,Human factors,2
Artificial intelligence,Machine learning,1
Artificial intelligence,Modeling,1
Artificial intelligence,Privacy,1
Artificial intelligence,Simulation,1
Artificial intelligence,Special issues and sections,4
Emotion recognition,Human factors,10
Emotion recognition,Machine learning,10
Emotion recognition,Modeling,1
Emotion recognition,Privacy,1
Emotion recognition,Simulation,1
Emotion recognition,Special issues and sections,10
Ethics,Human factors,10
Ethics,Machine learning,1
Ethics,Modeling,1
Ethics,Sentiment analysis,3
Ethics,Simulation,1
Ethics,Special issues and sections,2
Human factors,Machine learning,3
Human factors,Modeling,1
Human factors,Privacy,1
Human factors,Sentiment analysis,2
Human factors,Simulation,1
Human factors,Special issues and sections,5
Machine learning,Modeling,1
Machine learning,Privacy,1
Machine learning,Sentiment analysis,4
Machine learning,Simulation,1
Machine learning,Special issues and sections,2
Modeling,Privacy,1
Modeling,Sentiment analysis,1
Modeling,Simulation,1
Modeling,Special issues and sections,1
Privacy,Sentiment analysis,1
Privacy,Simulation,1
Privacy,Special issues and sections,1
Sentiment analysis,Simulation,1
Sentiment analysis,Special issues and sections,4
Simulation,Special issues and sections,1
Affective computing,Education,1
Affective computing,Software,1
Affective computing,Task analysis,16
Affective computing,Writing,1
Education,Ethics,1
Education,Face recognition,1
Education,Software,2
Education,Task analysis,3
Education,Writing,1
Ethics,Software,1
Ethics,Task analysis,3
Ethics,Writing,1
Face recognition,Software,2
Face recognition,Writing,1
Software,Task analysis,2
Software,Writing,1
Task analysis,Writing,1
Data models,Facial muscles,1
Data models,Libraries,1
Data models,Lips,2
Data models,Protocols,1
Facial muscles,Gold,1
Facial muscles,Libraries,1
Facial muscles,Lips,1
Facial muscles,Protocols,1
Facial muscles,Training,1
Gold,Libraries,1
Gold,Lips,1
Gold,Protocols,1
Gold,Training,7
Libraries,Lips,1
Libraries,Protocols,1
Libraries,Training,1
Lips,Protocols,1
Lips,Training,1
Protocols,Training,3
Affective computing,Art,1
Affective computing,Faces,3
Affective computing,Mood,2
Affective computing,Surveillance,1
Art,Emotion recognition,1
Art,Ethics,1
Art,Faces,1
Art,Mood,1
Art,Surveillance,1
Emotion recognition,Faces,7
Emotion recognition,Mood,16
Emotion recognition,Surveillance,1
Ethics,Mood,1
Ethics,Surveillance,1
Faces,Mood,1
Faces,Surveillance,1
Mood,Surveillance,1
Convolution,Databases,2
Convolution,Depression,5
Convolution,Feature extraction,18
Convolution,Predictive models,1
Convolution,Spectrogram,1
Convolution,Speech processing,1
Databases,Depression,4
Databases,Predictive models,5
Databases,Spectrogram,1
Databases,Speech processing,2
Depression,Feature extraction,23
Depression,Predictive models,4
Depression,Spectrogram,1
Depression,Speech processing,1
Feature extraction,Spectrogram,3
Feature extraction,Speech processing,9
Predictive models,Spectrogram,1
Predictive models,Speech processing,1
Spectrogram,Speech processing,2
Analytical models,Buildings,2
Analytical models,Syntactics,1
Buildings,Context modeling,1
Buildings,Sentiment analysis,1
Buildings,Syntactics,1
Buildings,Task analysis,2
Buildings,Training,2
Context modeling,Syntactics,3
Context modeling,Training,2
Syntactics,Training,4
Context modeling,Fans,1
Context modeling,Feature extraction,4
Context modeling,Portable computers,1
Context modeling,Touch sensitive screens,1
Data mining,Fans,1
Data mining,Portable computers,1
Data mining,Touch sensitive screens,1
Fans,Feature extraction,1
Fans,Portable computers,1
Fans,Task analysis,1
Fans,Touch sensitive screens,1
Feature extraction,Touch sensitive screens,1
Portable computers,Touch sensitive screens,1
Task analysis,Touch sensitive screens,1
Acoustics,Depression,4
Acoustics,Information exchange,1
Acoustics,Tensors,1
Acoustics,Transformers,2
Depression,Information exchange,1
Depression,Sentiment analysis,2
Depression,Tensors,2
Depression,Transformers,2
Feature extraction,Information exchange,1
Feature extraction,Tensors,2
Information exchange,Sentiment analysis,1
Information exchange,Tensors,1
Information exchange,Transformers,1
Sentiment analysis,Tensors,1
Tensors,Transformers,1
Decoding,Discrete wavelet transforms,1
Decoding,Face recognition,3
Decoding,Sensors,1
Decoding,Wireless fidelity,1
Discrete wavelet transforms,Emotion recognition,3
Discrete wavelet transforms,Face recognition,1
Discrete wavelet transforms,Feature extraction,3
Discrete wavelet transforms,Sensors,1
Discrete wavelet transforms,Wireless fidelity,1
Emotion recognition,Face recognition,45
Emotion recognition,Wireless fidelity,1
Face recognition,Sensors,2
Face recognition,Wireless fidelity,1
Feature extraction,Sensors,9
Feature extraction,Wireless fidelity,1
Sensors,Wireless fidelity,1
Data collection,Electrocardiography,1
Data collection,Emotion recognition,2
Data collection,Games,2
Data collection,Labeling,1
Data collection,Physiology,2
Data collection,Training,1
Electrocardiography,Games,2
Electrocardiography,Labeling,1
Electrocardiography,Training,1
Emotion recognition,Games,12
Games,Labeling,3
Games,Physiology,13
Games,Training,6
Labeling,Training,6
Physiology,Training,8
Deep learning,Multitasking,1
Deep learning,Support vector machines,2
