Year,Issue,Keyword,Frequency
2023,4,Magnetic resonance imaging,1
2023,4,Linguistics,1
2023,4,Adaptation models,5
2023,4,Prototypes,2
2023,4,Keyboards,1
2023,4,Knowledge engineering,1
2023,4,Syntactics,2
2023,4,Heterogeneous networks,1
2023,4,Special issues and sections,1
2023,4,Social robots,1
2023,4,Robots,1
2023,4,Robot sensing systems,2
2023,4,Guidelines,1
2023,4,Rescue robots,1
2023,4,Electronic mail,3
2023,4,Databases,2
2023,4,Transfer learning,1
2023,4,Bridges,1
2023,4,Aggregates,1
2023,4,Three-dimensional displays,1
2023,4,Computer vision,1
2023,4,Annotations,4
2023,4,Transmitters,1
2023,4,Control systems,1
2023,4,Training data,2
2023,4,Logic gates,2
2023,4,Bit error rate,1
2023,4,Pupils,1
2023,4,Eyelids,1
2023,4,Iris recognition,1
2023,4,Brain modeling,4
2023,4,Drives,1
2023,4,Motion pictures,2
2023,4,Manuals,1
2023,4,Bonding,1
2023,4,Social networking (online),1
2023,4,Pattern recognition,1
2023,4,IEC,1
2023,4,Wheels,2
2023,4,Dogs,1
2023,4,Convolution,1
2023,4,Image segmentation,1
2023,4,Portable computers,1
2023,4,Graph neural networks,1
2023,4,Streaming media,1
2023,4,Hidden Markov models,1
2023,4,Speech synthesis,1
2023,4,Hospitals,1
2023,4,Interviews,1
2023,4,Random forests,1
2023,4,Blogs,1
2023,4,Cyberbullying,1
2023,4,Education,1
2023,4,Systematics,1
2023,4,Torso,1
2023,4,Rigidity,1
2023,4,Motion capture,1
2023,4,Animation,1
2023,4,Mood,1
2023,4,Long short term memory,1
2023,4,Wearable computers,1
2023,3,Stress measurement,1
2023,3,Anxiety disorders,2
2023,3,Regulation,2
2023,3,Vibrations,1
2023,3,Particle measurements,2
2023,3,Skin,2
2023,3,Atmospheric measurements,2
2023,3,Support vector machines,1
2023,3,Computational modeling,12
2023,3,Predictive models,5
2023,3,Labeling,1
2023,3,Markov processes,1
2023,3,Training,19
2023,3,Affective computing,4
2023,3,Mental health,1
2023,3,Linguistics,3
2023,3,Annotations,4
2023,3,Social networking (online),4
2023,3,Ethics,2
2023,3,Blogs,3
2023,3,Dictionaries,2
2023,3,Physiology,7
2023,3,Induction motors,1
2023,3,Stress,2
2023,3,Statistics,2
2023,3,Task analysis,32
2023,3,Older adults,2
2023,3,Sociology,2
2023,3,Systematics,1
2023,3,Monitoring,1
2023,3,Wearable sensors,2
2023,3,Emotion recognition,22
2023,3,Biomedical monitoring,1
2023,3,Sensors,3
2023,3,Bibliographies,1
2023,3,Multitasking,4
2023,3,Gold,4
2023,3,Gaussian distribution,2
2023,3,Face recognition,6
2023,3,Feature extraction,23
2023,3,Uncertainty,3
2023,3,Estimation,4
2023,3,Generators,3
2023,3,Measurement,2
2023,3,Trajectory,1
2023,3,Computer architecture,1
2023,3,Sentiment analysis,14
2023,3,Visualization,5
2023,3,Representation learning,1
2023,3,Bit error rate,2
2023,3,Analytical models,6
2023,3,Optimization,1
2023,3,Adaptation models,4
2023,3,Transformers,4
2023,3,Faces,1
2023,3,Animals,1
2023,3,Horses,1
2023,3,Videos,1
2023,3,Pain,1
2023,3,Image representation,1
2023,3,Semantics,4
2023,3,Location awareness,1
2023,3,Brain modeling,7
2023,3,Electroencephalography,9
2023,3,Biological system modeling,2
2023,3,Data models,6
2023,3,Interviews,1
2023,3,Medical services,1
2023,3,Depression,8
2023,3,Convolutional neural networks,7
2023,3,Solid modeling,2
2023,3,State-space methods,1
2023,3,Matrix decomposition,1
2023,3,Correlation,1
2023,3,Mathematical models,1
2023,3,Covariance matrices,1
2023,3,Speech recognition,4
2023,3,Engineering profession,1
2023,3,Generative adversarial networks,2
2023,3,Chatbots,1
2023,3,Virtual assistants,1
2023,3,Reinforcement learning,3
2023,3,Welding,1
2023,3,Target recognition,1
2023,3,Databases,5
2023,3,Data visualization,1
2023,3,Entropy,1
2023,3,Complexity theory,1
2023,3,Current measurement,1
2023,3,History,1
2023,3,Licenses,2
2023,3,Image coding,1
2023,3,Electrodes,3
2023,3,Deep learning,5
2023,3,Motion pictures,2
2023,3,Hurricanes,1
2023,3,Decision making,2
2023,3,Psychology,3
2023,3,Appraisal,1
2023,3,Hidden Markov models,2
2023,3,Olfactory,1
2023,3,Data mining,5
2023,3,Classification algorithms,1
2023,3,Pupils,1
2023,3,Fuses,1
2023,3,Spatiotemporal phenomena,1
2023,3,Tensors,1
2023,3,Testing,1
2023,3,Neuroscience,1
2023,3,Pipelines,1
2023,3,Quaternions,1
2023,3,Mouth,1
2023,3,Sports,1
2023,3,Data collection,1
2023,3,Games,1
2023,3,Iron,1
2023,3,Learning systems,1
2023,3,Probabilistic logic,1
2023,3,Training data,1
2023,3,Accelerometers,1
2023,3,Robot sensing systems,2
2023,3,Wearable computers,2
2023,3,Machine learning,1
2023,3,Convergence,1
2023,3,Multimedia Web sites,1
2023,3,Image databases,1
2023,3,Oral communication,4
2023,3,Artificial intelligence,2
2023,3,Closed box,1
2023,3,Information systems,1
2023,3,Neural networks,1
2023,3,Special issues and sections,1
2023,3,Metaverse,1
2023,3,Three-dimensional displays,2
2023,3,Random forests,1
2023,3,Long short term memory,1
2023,3,Encoding,1
2023,3,Optical flow,1
2023,3,Convolution,2
2023,3,Information science,1
2023,3,Education,1
2023,3,Software,1
2023,3,Biomarkers,1
2023,3,Sparse matrices,1
2023,3,Transfer learning,1
2023,3,Stochastic processes,1
2023,3,Context modeling,4
2023,3,Taxonomy,1
2023,3,Kernel,1
2023,3,Brain,1
2023,3,Benchmark testing,1
2023,3,Semisupervised learning,2
2023,3,Acoustics,1
2023,3,Logic gates,1
2023,3,Robustness,1
2023,3,Shape,1
2023,3,Australia,1
2023,3,Robots,1
2023,3,Dementia,1
2023,3,Portable computers,1
2023,3,Space missions,1
2023,3,Lattices,1
2023,3,Syntactics,1
2023,3,Compounds,1
2023,3,Noise measurement,1
2023,3,Reliability,1
2023,3,Knowledge based systems,2
2023,3,Computer science,1
2023,3,Commonsense reasoning,1
2023,3,Knowledge engineering,1
2023,3,Boosting,1
2023,3,Decision trees,1
2023,3,Prediction algorithms,1
2023,2,Annotations,4
2023,2,Video recording,1
2023,2,Feature extraction,31
2023,2,Visualization,10
2023,2,Cameras,2
2023,2,Irrigation,1
2023,2,Government,1
2023,2,Physiology,10
2023,2,Computational modeling,13
2023,2,Media,2
2023,2,Brain modeling,7
2023,2,Biomedical monitoring,3
2023,2,Emotion recognition,28
2023,2,Videos,9
2023,2,Biometrics (access control),1
2023,2,Biological system modeling,3
2023,2,Training,12
2023,2,Tactile sensors,1
2023,2,Skin,2
2023,2,IEEE Sections,1
2023,2,Face recognition,15
2023,2,Faces,6
2023,2,Task analysis,21
2023,2,Convolutional neural networks,7
2023,2,Muscles,1
2023,2,Adaptation models,3
2023,2,Estimation,2
2023,2,Psychology,3
2023,2,Databases,11
2023,2,Transfer learning,3
2023,2,Speech recognition,8
2023,2,Acoustics,5
2023,2,Convolution,3
2023,2,Electroencephalography,7
2023,2,Data mining,3
2023,2,Mood,4
2023,2,Linguistics,1
2023,2,Customer satisfaction,1
2023,2,Diseases,2
2023,2,Depression,4
2023,2,Image recognition,3
2023,2,Head,2
2023,2,Transformers,1
2023,2,Sentiment analysis,1
2023,2,Social networking (online),4
2023,2,Affective computing,6
2023,2,Knowledge engineering,1
2023,2,Correlation,4
2023,2,Heating systems,2
2023,2,Heart rate variability,2
2023,2,Logic gates,1
2023,2,Accelerometers,1
2023,2,Monitoring,1
2023,2,Electrocardiography,2
2023,2,Neural networks,3
2023,2,Speaker recognition,1
2023,2,Systematics,2
2023,2,Encoding,4
2023,2,Autism,2
2023,2,Pediatrics,2
2023,2,Prediction algorithms,1
2023,2,Motion pictures,2
2023,2,Computer vision,2
2023,2,Mouth,1
2023,2,Heuristic algorithms,1
2023,2,Predictive models,3
2023,2,Natural language processing,1
2023,2,Regulation,1
2023,2,Anxiety disorders,1
2023,2,Neurofeedback,1
2023,2,Real-time systems,2
2023,2,Measurement,4
2023,2,Reliability,3
2023,2,Analytical models,1
2023,2,Urban areas,1
2023,2,Statistics,1
2023,2,Sociology,1
2023,2,Context modeling,2
2023,2,Acoustic distortion,1
2023,2,Nonlinear distortion,1
2023,2,Semantics,4
2023,2,Deep learning,3
2023,2,Training data,1
2023,2,Strain,2
2023,2,Optical network units,1
2023,2,Euclidean distance,1
2023,2,Interviews,3
2023,2,Wearable computers,1
2023,2,Sensors,1
2023,2,Support vector machines,4
2023,2,Data models,4
2023,2,Gold,2
2023,2,Appraisal,2
2023,2,Particle measurements,2
2023,2,Load modeling,1
2023,2,Games,3
2023,2,Atmospheric measurements,2
2023,2,Fatigue,1
2023,2,Brakes,1
2023,2,Switches,1
2023,2,Planning,1
2023,2,Heart,1
2023,2,Distance measurement,1
2023,2,High performance computing,1
2023,2,Generative adversarial networks,1
2023,2,Animation,1
2023,2,Observers,2
2023,2,Magnetic heads,1
2023,2,Learning systems,1
2023,2,Variable speed drives,1
2023,2,Behavioral sciences,1
2023,2,Multisensory integration,1
2023,2,Pregnancy,1
2023,2,Reliability engineering,1
2023,2,Automation,1
2023,2,Calibration,1
2023,2,Robots,1
2023,2,Decision making,1
2023,2,Drones,1
2023,2,Computer architecture,2
2023,2,Mirrors,1
2023,2,Tools,2
2023,2,Blogs,1
2023,2,Rubber,1
2023,2,Stress,1
2023,2,Marine vehicles,1
2023,2,Receivers,1
2023,2,Testing,1
2023,2,Dictionaries,2
2023,2,Histograms,1
2023,2,Protocols,1
2023,2,Pathology,1
2023,2,Guidelines,1
2023,2,Streaming media,1
2023,2,Cognition,1
2023,2,Music,1
2023,2,Three-dimensional displays,2
2023,2,Facial features,1
2023,2,Character recognition,1
2023,2,Films,1
2023,2,Electronic mail,1
2023,2,Hidden Markov models,1
2023,2,Legged locomotion,1
2023,2,Frequency locked loops,1
2023,2,Location awareness,1
2023,2,Neurons,1
2023,2,Principal component analysis,1
2023,2,Australia,1
2023,2,Animals,1
2023,2,Intelligent agents,1
2023,2,Sun,1
2023,2,Mental health,1
2023,2,Multimedia Web sites,1
2023,2,Feeds,1
2023,1,Convolution,3
2023,1,Physiology,10
2023,1,Electrodes,4
2023,1,Brain modeling,8
2023,1,Electroencephalography,10
2023,1,Feature extraction,25
2023,1,Emotion recognition,19
2023,1,Sentiment analysis,7
2023,1,Data mining,3
2023,1,Task analysis,29
2023,1,Semantics,7
2023,1,Context modeling,4
2023,1,Computer science,2
2023,1,Monitoring,1
2023,1,Faces,7
2023,1,Depression,7
2023,1,Databases,8
2023,1,Training,8
2023,1,Machine learning algorithms,1
2023,1,Machine learning,5
2023,1,Magnetic heads,2
2023,1,Acceleration,1
2023,1,Particle measurements,4
2023,1,Games,7
2023,1,Fetal heart rate,1
2023,1,Heart rate,2
2023,1,Atmospheric measurements,3
2023,1,Linguistics,4
2023,1,Visualization,9
2023,1,Speech recognition,5
2023,1,Automobiles,1
2023,1,Acoustics,1
2023,1,Auditory system,1
2023,1,Modulation,1
2023,1,Adaptation models,2
2023,1,Face recognition,9
2023,1,Image recognition,2
2023,1,Generative adversarial networks,2
2023,1,Heart rate variability,2
2023,1,Current measurement,2
2023,1,Real-time systems,2
2023,1,Information systems,1
2023,1,Pose estimation,1
2023,1,Annotations,2
2023,1,Head,1
2023,1,Recurrent neural networks,2
2023,1,Social networking (online),4
2023,1,Blogs,2
2023,1,Medical services,2
2023,1,Vehicles,1
2023,1,Safety,2
2023,1,Roads,1
2023,1,Bayes methods,1
2023,1,Videos,3
2023,1,Cognition,1
2023,1,Syntactics,4
2023,1,Market research,1
2023,1,Image reconstruction,1
2023,1,Supervised learning,1
2023,1,Gold,1
2023,1,Heat transfer,1
2023,1,Correlation,5
2023,1,Transfer learning,1
2023,1,Estimation,1
2023,1,Heating systems,1
2023,1,Image sequences,1
2023,1,Three-dimensional displays,3
2023,1,Batteries,1
2023,1,Computer architecture,6
2023,1,Psychology,7
2023,1,Indexes,1
2023,1,Rhythm,1
2023,1,Spatiotemporal phenomena,1
2023,1,Image segmentation,1
2023,1,Two dimensional displays,1
2023,1,Hospitals,1
2023,1,Pediatrics,1
2023,1,Biomedical imaging,1
2023,1,Encoding,3
2023,1,Pain,1
2023,1,Functional magnetic resonance imaging,1
2023,1,Transient analysis,1
2023,1,Shape,1
2023,1,Signal to noise ratio,1
2023,1,Protocols,2
2023,1,Trajectory,2
2023,1,Manuals,1
2023,1,Drones,1
2023,1,Decoding,3
2023,1,Mental health,2
2023,1,Mental disorders,1
2023,1,Text recognition,1
2023,1,Tools,1
2023,1,Writing,1
2023,1,Text mining,1
2023,1,Computer vision,1
2023,1,Activity recognition,1
2023,1,Meteorology,1
2023,1,Mood,2
2023,1,Computational modeling,9
2023,1,Proposals,1
2023,1,Fuzzy logic,1
2023,1,Time-frequency analysis,2
2023,1,Uncertainty,2
2023,1,Solid modeling,2
2023,1,Observers,1
2023,1,Entropy,2
2023,1,Optical imaging,1
2023,1,Fuzzy neural networks,1
2023,1,Neural networks,1
2023,1,Cancer,1
2023,1,History,2
2023,1,Prognostics and health management,1
2023,1,Affective computing,3
2023,1,Prediction algorithms,1
2023,1,Mathematical model,2
2023,1,Organizations,1
2023,1,Complexity theory,1
2023,1,Delays,1
2023,1,Diseases,1
2023,1,Legged locomotion,1
2023,1,Robots,1
2023,1,Ethics,2
2023,1,Silicon,1
2023,1,Affordances,1
2023,1,Appraisal,1
2023,1,Systematics,2
2023,1,Media,1
2023,1,Licenses,1
2023,1,Emotional responses,1
2023,1,Testing,1
2023,1,Earth Observing System,1
2023,1,Bit error rate,1
2023,1,Gallium nitride,1
2023,1,Stress measurement,1
2023,1,Mice,1
2023,1,Stress,4
2023,1,Instruments,1
2023,1,Keyboards,1
2023,1,Target recognition,1
2023,1,Geometry,1
2023,1,Analytical models,3
2023,1,Image edge detection,1
2023,1,Convolutional neural networks,2
2023,1,Redundancy,1
2023,1,Predictive models,6
2023,1,Data models,2
2023,1,Sensors,1
2023,1,Support vector machines,1
2023,1,Training data,2
2023,1,Libraries,1
2023,1,Haptic interfaces,3
2023,1,Virtual reality,1
2023,1,Mobile handsets,1
2023,1,Vibrations,1
2023,1,Prototypes,1
2023,1,Animation,1
2023,1,Interviews,1
2023,1,Reinforcement learning,1
2023,1,Computers,1
2023,1,Intelligent vehicles,1
2023,1,Vehicle dynamics,1
2023,1,Multimedia Web sites,1
2023,1,Fabrics,1
2023,1,Glass,1
2023,1,Autism,1
2023,1,Histograms,1
2023,1,Cameras,1
2023,1,Artificial intelligence,1
2023,1,Special issues and sections,1
2023,1,Natural language processing,1
2023,1,Trust computing,1
2023,1,Human computer interaction,1
2023,1,Oral communication,1
2023,1,Twitter,1
2023,1,Dictionaries,1
2023,1,Reliability,1
2023,1,Logistics,1
2023,1,Hidden Markov models,1
2023,1,Speech synthesis,1
2023,1,Stability analysis,1
2023,1,Biological system modeling,1
2023,1,Australia,1
2023,1,Deep learning,2
2023,1,Electronic mail,1
2022,4,Convolution,4
2022,4,Electrodes,1
2022,4,Brain modeling,8
2022,4,Electroencephalography,6
2022,4,Feature extraction,17
2022,4,Task analysis,17
2022,4,Depression,3
2022,4,Emotion recognition,14
2022,4,Transfer learning,1
2022,4,Transformers,4
2022,4,Recurrent neural networks,1
2022,4,Robustness,3
2022,4,Training,10
2022,4,Semantics,6
2022,4,Context modeling,3
2022,4,Oral communication,1
2022,4,Computational modeling,5
2022,4,Annotations,3
2022,4,Databases,5
2022,4,Data models,3
2022,4,Games,3
2022,4,Affective computing,2
2022,4,Visualization,4
2022,4,Supervised learning,1
2022,4,Reinforcement learning,1
2022,4,Behavioral sciences,2
2022,4,Interviews,1
2022,4,Acoustics,3
2022,4,Multitasking,1
2022,4,Labeling,3
2022,4,Estimation,2
2022,4,Speech recognition,4
2022,4,Face recognition,10
2022,4,Electronic learning,1
2022,4,Convolutional neural networks,2
2022,4,Mood,1
2022,4,Protocols,3
2022,4,Software,2
2022,4,Adaptation models,3
2022,4,State estimation,1
2022,4,Physiology,3
2022,4,Anxiety disorders,1
2022,4,Regulation,2
2022,4,Solid modeling,2
2022,4,Petri nets,1
2022,4,Virtual environments,2
2022,4,Autism,1
2022,4,Pediatrics,1
2022,4,Data collection,1
2022,4,Statistics,1
2022,4,Mel frequency cepstral coefficient,1
2022,4,Sociology,2
2022,4,Laboratories,1
2022,4,Vehicles,1
2022,4,Lighting,2
2022,4,Music,1
2022,4,Automobiles,1
2022,4,Color,2
2022,4,Ventilation,1
2022,4,Optical fiber networks,1
2022,4,Cognition,3
2022,4,Optical sensors,1
2022,4,Optical losses,1
2022,4,Image motion analysis,1
2022,4,Faces,3
2022,4,Computer vision,1
2022,4,Optical flow,2
2022,4,Computer architecture,2
2022,4,Image recognition,1
2022,4,Head,2
2022,4,Magnetic heads,1
2022,4,Skin,2
2022,4,Testing,1
2022,4,Generators,2
2022,4,Shape,1
2022,4,Detectors,1
2022,4,Generative adversarial networks,1
2022,4,Deep learning,5
2022,4,Decoding,2
2022,4,Costs,2
2022,4,Learning systems,1
2022,4,Sentiment analysis,3
2022,4,Knowledge engineering,1
2022,4,Syntactics,1
2022,4,Support vector machines,3
2022,4,Correlation,2
2022,4,White matter,1
2022,4,Grey matter,1
2022,4,Linguistics,2
2022,4,Data mining,2
2022,4,Pupils,1
2022,4,Machine learning,1
2022,4,Videos,3
2022,4,User experience,1
2022,4,Modulation,1
2022,4,Social robots,1
2022,4,Hidden Markov models,1
2022,4,Robots,1
2022,4,Robot sensing systems,1
2022,4,Older adults,1
2022,4,Iron,1
2022,4,Lips,1
2022,4,Cameras,1
2022,4,Predictive models,3
2022,4,Trajectory,1
2022,4,Manifolds,1
2022,4,Pain,1
2022,4,Logic gates,1
2022,4,Neural networks,1
2022,4,Stress measurement,1
2022,4,Heart rate variability,1
2022,4,Stress,1
2022,4,Wearable computers,1
2022,4,Human factors,1
2022,4,Discrete Fourier transforms,1
2022,4,Training data,1
2022,4,Time series analysis,1
2022,4,Market research,1
2022,4,Crystals,1
2022,4,Histograms,1
2022,4,Classification algorithms,1
2022,4,Aggregates,1
2022,4,Uncertainty,1
2022,4,Neurons,1
2022,4,Social networking (online),1
2022,4,Motion pictures,1
2022,4,Human computer interaction,1
2022,4,Psychology,1
2022,3,Face recognition,8
2022,3,Educational technology,1
2022,3,Collaborative work,1
2022,3,Emotion recognition,9
2022,3,Collaboration,1
2022,3,Task analysis,11
2022,3,Leadership,1
2022,3,Mood,3
2022,3,Facebook,1
2022,3,Stress,3
2022,3,Switches,1
2022,3,Tools,4
2022,3,Productivity,1
2022,3,Spatiotemporal phenomena,1
2022,3,Histograms,2
2022,3,Predictive models,4
2022,3,Measurement,1
2022,3,Faces,3
2022,3,Feature extraction,17
2022,3,Three-dimensional displays,5
2022,3,Skeleton,1
2022,3,Games,1
2022,3,Pain,2
2022,3,Artificial intelligence,1
2022,3,Buildings,1
2022,3,Generative adversarial networks,1
2022,3,History,1
2022,3,Visualization,5
2022,3,TV,1
2022,3,Gold,2
2022,3,Face,2
2022,3,Learning systems,2
2022,3,Estimation,2
2022,3,Deep learning,4
2022,3,Computer science,1
2022,3,Probabilistic logic,1
2022,3,Noise measurement,2
2022,3,Annotations,3
2022,3,Training,4
2022,3,Neural networks,4
2022,3,Color,2
2022,3,Headphones,1
2022,3,Media,1
2022,3,Correlation,2
2022,3,Head,2
2022,3,Videos,2
2022,3,Virtual reality,1
2022,3,Psychology,7
2022,3,Convolution,4
2022,3,Depression,1
2022,3,Sentiment analysis,2
2022,3,Analytical models,2
2022,3,Supervised learning,1
2022,3,Road transportation,1
2022,3,Electrodes,2
2022,3,Frequency-domain analysis,1
2022,3,Brain modeling,3
2022,3,Electroencephalography,5
2022,3,Data models,4
2022,3,Hidden Markov models,2
2022,3,Solid modeling,2
2022,3,Acoustics,2
2022,3,Animation,1
2022,3,Time series analysis,1
2022,3,Data mining,1
2022,3,Convolutional neural networks,1
2022,3,Phonetics,1
2022,3,Pragmatics,1
2022,3,Taxonomy,1
2022,3,Semantics,2
2022,3,Timing,1
2022,3,Reliability,1
2022,3,Particle measurements,3
2022,3,Atmospheric measurements,3
2022,3,Databases,4
2022,3,Bonding,1
2022,3,Affective computing,3
2022,3,Lighting,2
