Year,Keyword,Frequency,Ratio
2023,Knowledge engineering,3,0.1735
2023,Syntactics,7,0.4049
2023,Heterogeneous networks,1,0.0578
2023,Special issues and sections,3,0.1735
2023,Social robots,1,0.0578
2023,Robots,4,0.2313
2023,Robot sensing systems,4,0.2313
2023,Guidelines,2,0.1157
2023,Rescue robots,1,0.0578
2023,Electronic mail,5,0.2892
2023,Databases,26,1.5038
2023,Transfer learning,6,0.347
2023,Bridges,1,0.0578
2023,Aggregates,1,0.0578
2023,Three-dimensional displays,8,0.4627
2023,Computer vision,4,0.2313
2023,Annotations,14,0.8097
2023,Transmitters,1,0.0578
2023,Control systems,1,0.0578
2023,Training data,6,0.347
2023,Logic gates,4,0.2313
2023,Bit error rate,4,0.2313
2023,Pupils,2,0.1157
2023,Eyelids,1,0.0578
2023,Iris recognition,1,0.0578
2023,Brain modeling,26,1.5038
2023,Drives,1,0.0578
2023,Motion pictures,6,0.347
2023,Manuals,2,0.1157
2023,Bonding,1,0.0578
2023,Social networking (online),13,0.7519
2023,Pattern recognition,1,0.0578
2023,IEC,1,0.0578
2023,Wheels,2,0.1157
2023,Dogs,1,0.0578
2023,Convolution,9,0.5205
2023,Image segmentation,2,0.1157
2023,Portable computers,2,0.1157
2023,Graph neural networks,1,0.0578
2023,Streaming media,2,0.1157
2023,Hidden Markov models,5,0.2892
2023,Speech synthesis,2,0.1157
2023,Hospitals,2,0.1157
2023,Interviews,6,0.347
2023,Random forests,2,0.1157
2023,Blogs,7,0.4049
2023,Cyberbullying,1,0.0578
2023,Education,2,0.1157
2023,Systematics,6,0.347
2023,Torso,1,0.0578
2023,Rigidity,1,0.0578
2023,Motion capture,1,0.0578
2023,Animation,3,0.1735
2023,Mood,7,0.4049
2023,Long short term memory,2,0.1157
2023,Wearable computers,4,0.2313
2023,Stress measurement,2,0.1157
2023,Regulation,3,0.1735
2023,Vibrations,2,0.1157
2023,Markov processes,1,0.0578
2023,Mental health,4,0.2313
2023,Ethics,4,0.2313
2023,Dictionaries,5,0.2892
2023,Induction motors,1,0.0578
2023,Stress,7,0.4049
2023,Older adults,2,0.1157
2023,Wearable sensors,2,0.1157
2023,Bibliographies,1,0.0578
2023,Gaussian distribution,2,0.1157
2023,Estimation,7,0.4049
2023,Generators,3,0.1735
2023,Trajectory,3,0.1735
2023,Representation learning,1,0.0578
2023,Animals,2,0.1157
2023,Horses,1,0.0578
2023,Pain,2,0.1157
2023,Image representation,1,0.0578
2023,Location awareness,2,0.1157
2023,Biological system modeling,6,0.347
2023,Medical services,3,0.1735
2023,Solid modeling,4,0.2313
2023,State-space methods,1,0.0578
2023,Matrix decomposition,1,0.0578
2023,Mathematical models,1,0.0578
2023,Covariance matrices,1,0.0578
2023,Engineering profession,1,0.0578
2023,Generative adversarial networks,5,0.2892
2023,Virtual assistants,1,0.0578
2023,Welding,1,0.0578
2023,Data visualization,1,0.0578
2023,Entropy,3,0.1735
2023,Complexity theory,2,0.1157
2023,Current measurement,3,0.1735
2023,History,3,0.1735
2023,Licenses,3,0.1735
2023,Image coding,1,0.0578
2023,Hurricanes,1,0.0578
2023,Olfactory,1,0.0578
2023,Classification algorithms,1,0.0578
2023,Spatiotemporal phenomena,2,0.1157
2023,Neuroscience,1,0.0578
2023,Pipelines,1,0.0578
2023,Quaternions,1,0.0578
2023,Mouth,2,0.1157
2023,Sports,1,0.0578
2023,Iron,1,0.0578
2023,Learning systems,2,0.1157
2023,Probabilistic logic,1,0.0578
2023,Accelerometers,2,0.1157
2023,Machine learning,6,0.347
2023,Convergence,1,0.0578
2023,Multimedia Web sites,3,0.1735
2023,Image databases,1,0.0578
2023,Closed box,1,0.0578
2023,Information systems,2,0.1157
2023,Metaverse,1,0.0578
2023,Encoding,8,0.4627
2023,Optical flow,1,0.0578
2023,Information science,1,0.0578
2023,Software,1,0.0578
2023,Biomarkers,1,0.0578
2023,Sparse matrices,1,0.0578
2023,Stochastic processes,1,0.0578
2023,Context modeling,10,0.5784
2023,Taxonomy,1,0.0578
2023,Kernel,1,0.0578
2023,Brain,1,0.0578
2023,Benchmark testing,1,0.0578
2023,Semisupervised learning,2,0.1157
2023,Robustness,1,0.0578
2023,Dementia,1,0.0578
2023,Space missions,1,0.0578
2023,Lattices,1,0.0578
2023,Compounds,1,0.0578
2023,Knowledge based systems,2,0.1157
2023,Computer science,3,0.1735
2023,Commonsense reasoning,1,0.0578
2023,Boosting,1,0.0578
2023,Decision trees,1,0.0578
2023,Prediction algorithms,3,0.1735
2023,Video recording,1,0.0578
2023,Irrigation,1,0.0578
2023,Government,1,0.0578
2023,Biometrics (access control),1,0.0578
2023,Tactile sensors,1,0.0578
2023,IEEE Sections,1,0.0578
2023,Muscles,1,0.0578
2023,Customer satisfaction,1,0.0578
2023,Diseases,3,0.1735
2023,Head,3,0.1735
2023,Heating systems,3,0.1735
2023,Speaker recognition,1,0.0578
2023,Heuristic algorithms,1,0.0578
2023,Natural language processing,2,0.1157
2023,Neurofeedback,1,0.0578
2023,Real-time systems,4,0.2313
2023,Acoustic distortion,1,0.0578
2023,Nonlinear distortion,1,0.0578
2023,Strain,2,0.1157
2023,Optical network units,1,0.0578
2023,Euclidean distance,1,0.0578
2023,Load modeling,1,0.0578
2023,Fatigue,1,0.0578
2023,Brakes,1,0.0578
2023,Switches,1,0.0578
2023,Planning,1,0.0578
2023,Heart,1,0.0578
2023,Distance measurement,1,0.0578
2023,High performance computing,1,0.0578
2023,Magnetic heads,3,0.1735
2023,Multisensory integration,1,0.0578
2023,Pregnancy,1,0.0578
2023,Reliability engineering,1,0.0578
2023,Automation,1,0.0578
2023,Calibration,1,0.0578
2023,Drones,2,0.1157
2023,Mirrors,1,0.0578
2023,Tools,3,0.1735
2023,Rubber,1,0.0578
2023,Marine vehicles,1,0.0578
2023,Receivers,1,0.0578
2023,Histograms,2,0.1157
2023,Protocols,3,0.1735
2023,Pathology,1,0.0578
2023,Music,1,0.0578
2023,Facial features,1,0.0578
2023,Character recognition,1,0.0578
2023,Films,1,0.0578
2023,Legged locomotion,2,0.1157
2023,Frequency locked loops,1,0.0578
2023,Neurons,1,0.0578
2023,Intelligent agents,1,0.0578
2023,Sun,1,0.0578
2023,Feeds,1,0.0578
2023,Machine learning algorithms,1,0.0578
2023,Acceleration,1,0.0578
2023,Fetal heart rate,1,0.0578
2023,Heart rate,2,0.1157
2023,Automobiles,1,0.0578
2023,Auditory system,1,0.0578
2023,Modulation,1,0.0578
2023,Pose estimation,1,0.0578
2023,Recurrent neural networks,2,0.1157
2023,Safety,2,0.1157
2023,Roads,1,0.0578
2023,Image reconstruction,1,0.0578
2023,Supervised learning,1,0.0578
2023,Heat transfer,1,0.0578
2023,Image sequences,1,0.0578
2023,Batteries,1,0.0578
2023,Indexes,1,0.0578
2023,Rhythm,1,0.0578
2023,Two dimensional displays,1,0.0578
2023,Biomedical imaging,1,0.0578
2023,Functional magnetic resonance imaging,1,0.0578
2023,Transient analysis,1,0.0578
2023,Signal to noise ratio,1,0.0578
2023,Mental disorders,1,0.0578
2023,Text recognition,1,0.0578
2023,Writing,1,0.0578
2023,Text mining,1,0.0578
2023,Activity recognition,1,0.0578
2023,Meteorology,1,0.0578
2023,Proposals,1,0.0578
2023,Fuzzy logic,1,0.0578
2023,Time-frequency analysis,2,0.1157
2023,Optical imaging,1,0.0578
2023,Fuzzy neural networks,1,0.0578
2023,Cancer,1,0.0578
2023,Prognostics and health management,1,0.0578
2023,Mathematical model,2,0.1157
2023,Organizations,1,0.0578
2023,Delays,1,0.0578
2023,Silicon,1,0.0578
2023,Affordances,1,0.0578
2023,Emotional responses,1,0.0578
2023,Earth Observing System,1,0.0578
2023,Gallium nitride,1,0.0578
2023,Mice,1,0.0578
2023,Instruments,1,0.0578
2023,Geometry,1,0.0578
2023,Image edge detection,1,0.0578
2023,Redundancy,1,0.0578
2023,Libraries,1,0.0578
2023,Haptic interfaces,3,0.1735
2023,Virtual reality,1,0.0578
2023,Mobile handsets,1,0.0578
2023,Computers,1,0.0578
2023,Intelligent vehicles,1,0.0578
2023,Vehicle dynamics,1,0.0578
2023,Fabrics,1,0.0578
2023,Glass,1,0.0578
2023,Trust computing,1,0.0578
2023,Human computer interaction,1,0.0578
2023,Twitter,1,0.0578
2023,Logistics,1,0.0578
2023,Stability analysis,1,0.0578
2022,Convolution,9,0.7944
2022,Electrodes,4,0.353
2022,Brain modeling,19,1.677
2022,Electroencephalography,24,2.1183
2022,Feature extraction,67,5.9135
2022,Task analysis,56,4.9426
2022,Depression,7,0.6178
2022,Emotion recognition,39,3.4422
2022,Transfer learning,1,0.0883
2022,Transformers,4,0.353
2022,Recurrent neural networks,3,0.2648
2022,Robustness,4,0.353
2022,Training,27,2.3831
2022,Semantics,11,0.9709
2022,Context modeling,3,0.2648
2022,Oral communication,1,0.0883
2022,Computational modeling,31,2.7361
2022,Annotations,10,0.8826
2022,Databases,16,1.4122
2022,Data models,12,1.0591
2022,Games,10,0.8826
2022,Affective computing,13,1.1474
2022,Visualization,21,1.8535
2022,Supervised learning,2,0.1765
2022,Reinforcement learning,1,0.0883
2022,Behavioral sciences,2,0.1765
2022,Interviews,3,0.2648
2022,Acoustics,10,0.8826
2022,Multitasking,1,0.0883
2022,Labeling,5,0.4413
2022,Estimation,10,0.8826
2022,Speech recognition,12,1.0591
2022,Face recognition,30,2.6478
2022,Electronic learning,1,0.0883
2022,Convolutional neural networks,5,0.4413
2022,Mood,7,0.6178
2022,Protocols,5,0.4413
2022,Software,2,0.1765
2022,Adaptation models,9,0.7944
2022,State estimation,1,0.0883
2022,Physiology,18,1.5887
2022,Anxiety disorders,1,0.0883
2022,Regulation,3,0.2648
2022,Solid modeling,5,0.4413
2022,Petri nets,1,0.0883
2022,Virtual environments,2,0.1765
2022,Autism,2,0.1765
2022,Pediatrics,2,0.1765
2022,Data collection,1,0.0883
2022,Statistics,1,0.0883
2022,Mel frequency cepstral coefficient,1,0.0883
2022,Sociology,3,0.2648
2022,Laboratories,1,0.0883
2022,Vehicles,1,0.0883
2022,Lighting,4,0.353
2022,Music,2,0.1765
2022,Automobiles,1,0.0883
2022,Color,4,0.353
2022,Ventilation,1,0.0883
2022,Optical fiber networks,1,0.0883
2022,Cognition,6,0.5296
2022,Optical sensors,1,0.0883
2022,Optical losses,1,0.0883
2022,Image motion analysis,1,0.0883
2022,Faces,6,0.5296
2022,Computer vision,5,0.4413
2022,Optical flow,2,0.1765
2022,Computer architecture,7,0.6178
2022,Image recognition,2,0.1765
2022,Head,4,0.353
2022,Magnetic heads,2,0.1765
2022,Skin,5,0.4413
2022,Testing,2,0.1765
2022,Generators,3,0.2648
2022,Shape,5,0.4413
2022,Detectors,2,0.1765
2022,Generative adversarial networks,3,0.2648
2022,Deep learning,15,1.3239
2022,Decoding,3,0.2648
2022,Costs,2,0.1765
2022,Learning systems,5,0.4413
2022,Sentiment analysis,10,0.8826
2022,Knowledge engineering,2,0.1765
2022,Syntactics,3,0.2648
2022,Support vector machines,8,0.7061
2022,Correlation,10,0.8826
2022,White matter,1,0.0883
2022,Grey matter,1,0.0883
2022,Linguistics,5,0.4413
2022,Data mining,7,0.6178
2022,Pupils,1,0.0883
2022,Machine learning,12,1.0591
2022,Videos,13,1.1474
2022,User experience,1,0.0883
2022,Modulation,1,0.0883
2022,Social robots,1,0.0883
2022,Hidden Markov models,6,0.5296
2022,Robots,4,0.353
2022,Robot sensing systems,1,0.0883
2022,Older adults,1,0.0883
2022,Iron,1,0.0883
2022,Lips,1,0.0883
2022,Cameras,4,0.353
2022,Predictive models,15,1.3239
2022,Trajectory,2,0.1765
2022,Manifolds,1,0.0883
2022,Pain,8,0.7061
2022,Logic gates,1,0.0883
2022,Neural networks,12,1.0591
2022,Stress measurement,3,0.2648
2022,Heart rate variability,2,0.1765
2022,Stress,6,0.5296
2022,Wearable computers,1,0.0883
2022,Human factors,1,0.0883
2022,Discrete Fourier transforms,1,0.0883
2022,Training data,3,0.2648
2022,Time series analysis,6,0.5296
2022,Market research,3,0.2648
2022,Crystals,1,0.0883
2022,Histograms,4,0.353
2022,Classification algorithms,1,0.0883
2022,Aggregates,1,0.0883
2022,Uncertainty,2,0.1765
2022,Neurons,1,0.0883
2022,Social networking (online),3,0.2648
2022,Motion pictures,5,0.4413
2022,Human computer interaction,1,0.0883
2022,Psychology,19,1.677
2022,Educational technology,1,0.0883
2022,Collaborative work,1,0.0883
2022,Collaboration,1,0.0883
2022,Leadership,1,0.0883
2022,Facebook,1,0.0883
2022,Switches,1,0.0883
2022,Tools,7,0.6178
2022,Productivity,1,0.0883
2022,Spatiotemporal phenomena,2,0.1765
2022,Measurement,2,0.1765
2022,Three-dimensional displays,6,0.5296
2022,Skeleton,1,0.0883
2022,Artificial intelligence,1,0.0883
2022,Buildings,1,0.0883
2022,History,1,0.0883
2022,TV,1,0.0883
2022,Gold,7,0.6178
2022,Face,13,1.1474
2022,Computer science,2,0.1765
2022,Probabilistic logic,2,0.1765
2022,Noise measurement,2,0.1765
2022,Headphones,1,0.0883
2022,Media,1,0.0883
2022,Virtual reality,2,0.1765
2022,Analytical models,5,0.4413
2022,Road transportation,1,0.0883
2022,Frequency-domain analysis,1,0.0883
2022,Animation,2,0.1765
2022,Phonetics,1,0.0883
2022,Pragmatics,1,0.0883
2022,Taxonomy,2,0.1765
2022,Timing,1,0.0883
2022,Reliability,3,0.2648
2022,Particle measurements,5,0.4413
2022,Atmospheric measurements,7,0.6178
2022,Bonding,1,0.0883
2022,Monitoring,3,0.2648
2022,Biomedical monitoring,2,0.1765
2022,Sensors,1,0.0883
2022,Data privacy,1,0.0883
2022,Ethics,1,0.0883
2022,Guidelines,1,0.0883
2022,Big Data,1,0.0883
2022,Medical services,1,0.0883
2022,Privacy,1,0.0883
2022,Wearable sensors,2,0.1765
2022,Intelligent sensors,1,0.0883
2022,Education,4,0.353
2022,Biological neural networks,2,0.1765
2022,Biomedical measurement,1,0.0883
2022,Sensitivity,1,0.0883
2022,Electronic mail,2,0.1765
2022,Companies,1,0.0883
2022,Dictionaries,2,0.1765
2022,Integrated optics,1,0.0883
2022,Bayes methods,2,0.1765
2022,Convergence,1,0.0883
2022,Multi-agent systems,1,0.0883
2022,Proposals,1,0.0883
2022,Decision making,2,0.1765
2022,Public transportation,1,0.0883
2022,Neural activity,1,0.0883
2022,Time-domain analysis,1,0.0883
2022,Wrist,1,0.0883
2022,Filtering,1,0.0883
2022,Electric potential,2,0.1765
2022,Brain-computer interfaces,1,0.0883
2022,Public speaking,2,0.1765
2022,Mice,1,0.0883
2022,Kinematics,2,0.1765
2022,Medical treatment,2,0.1765
2022,Signal processing,1,0.0883
2022,Encoding,8,0.7061
2022,Appraisal,2,0.1765
2022,Facial animation,1,0.0883
2022,Memory modules,1,0.0883
2022,Resource management,1,0.0883
2022,Drugs,1,0.0883
2022,Performance evaluation,2,0.1765
2022,Force,2,0.1765
2022,Actuators,1,0.0883
2022,Aerospace electronics,1,0.0883
2022,Electrocardiography,2,0.1765
2022,Dynamics,1,0.0883
2022,Nonhomogeneous media,1,0.0883
2022,Optical imaging,1,0.0883
2022,Streaming media,1,0.0883
2022,Advertising,1,0.0883
2022,Grammar,1,0.0883
2022,Time-frequency analysis,2,0.1765
2022,Synchronization,3,0.2648
2022,Biological control systems,1,0.0883
2022,Heart rate,2,0.1765
2022,Olfactory,1,0.0883
2022,Temperature measurement,1,0.0883
2022,Scalp,1,0.0883
2022,Character recognition,1,0.0883
2022,Cultural differences,1,0.0883
2022,Erbium,2,0.1765
2022,Manuals,2,0.1765
2022,Twitter,4,0.353
2022,Observers,3,0.2648
2022,Problem-solving,1,0.0883
2022,Distance measurement,1,0.0883
2022,Clustering algorithms,1,0.0883
2022,Dementia,1,0.0883
2022,Mathematical model,3,0.2648
2022,YouTube,2,0.1765
2022,Standards,3,0.2648
2022,Smoothing methods,1,0.0883
2022,Principal component analysis,3,0.2648
2022,Food products,1,0.0883
2022,Graphical user interfaces,1,0.0883
2022,Unmanned aerial vehicles,1,0.0883
2022,Kernel,1,0.0883
2022,Sun,2,0.1765
2022,Australia,1,0.0883
2022,Semisupervised learning,1,0.0883
2022,Image segmentation,2,0.1765
2022,Spectrogram,1,0.0883
2022,Fuses,2,0.1765
2022,Reactive power,1,0.0883
2022,Calibration,1,0.0883
2022,Hardware,2,0.1765
2022,Gaze tracking,1,0.0883
2022,Video recording,1,0.0883
2022,Ice,1,0.0883
2022,Conductors,1,0.0883
2022,Biological system modeling,1,0.0883
2022,Game theory,1,0.0883
2022,Reservoirs,1,0.0883
2022,Heart beat,1,0.0883
2022,Emotional responses,1,0.0883
2022,Complexity theory,2,0.1765
2022,Barium,1,0.0883
2022,Production,1,0.0883
2022,Speech processing,1,0.0883
2022,Gallium nitride,1,0.0883
2022,Prediction algorithms,1,0.0883
2022,Prototypes,1,0.0883
2022,Network architecture,1,0.0883
2022,Facial features,1,0.0883
2022,Benchmark testing,2,0.1765
2022,Strain,1,0.0883
2022,Motion segmentation,1,0.0883
2022,Information science,1,0.0883
2022,Vocabulary,1,0.0883
2022,Indexes,3,0.2648
2022,Video sequences,1,0.0883
2022,Delays,1,0.0883
2022,MIMO communication,1,0.0883
2022,Eigenvalues and eigenfunctions,1,0.0883
2022,Channel estimation,1,0.0883
2022,Direction-of-arrival estimation,1,0.0883
2022,Computational complexity,1,0.0883
2022,Stakeholders,1,0.0883
2022,Conferences,1,0.0883
2022,Finite element analysis,1,0.0883
2022,Eyebrows,1,0.0883
2022,Numerical models,1,0.0883
2022,Interrupters,1,0.0883
2022,Evolutionary computation,2,0.1765
2022,Tagging,2,0.1765
2022,Band-pass filters,1,0.0883
2022,Writing,1,0.0883
2022,Gyroscopes,1,0.0883
2022,Magnetometers,1,0.0883
2022,Accelerometers,2,0.1765
2022,Legged locomotion,1,0.0883
2022,Tissue damage,1,0.0883
2022,Nervous system,1,0.0883
2022,Speech,1,0.0883
2022,Convolutional neural nets,1,0.0883
2022,Neuroscience,1,0.0883
2022,Optimization,1,0.0883
2022,Machine learning algorithms,2,0.1765
2022,Planning,1,0.0883
2022,Real-time systems,1,0.0883
2022,Statistical analysis,1,0.0883
2022,Decision trees,1,0.0883
2022,Information technology,1,0.0883
2022,Data integrity,1,0.0883
2022,Heterogeneous networks,1,0.0883
2022,Acceleration,1,0.0883
2022,Current measurement,1,0.0883
2022,Peripheral nervous system,1,0.0883
2022,Psychiatry,1,0.0883
2022,Kalman filters,1,0.0883
2022,Fasteners,1,0.0883
2022,Organizations,1,0.0883
2022,Hospitals,1,0.0883
2021,Physiology,11,1.8395
2021,Complexity theory,2,0.3344
2021,Monitoring,4,0.6689
2021,Gaze tracking,1,0.1672
2021,Neural activity,1,0.1672
2021,Electroencephalography,12,2.0067
2021,Product design,1,0.1672
2021,Systematics,1,0.1672
2021,Computer applications,1,0.1672
2021,Protocols,1,0.1672
2021,Emotion recognition,41,6.8562
2021,Affective computing,14,2.3411
2021,Behavioral sciences,2,0.3344
2021,Schizophrenia,1,0.1672
2021,Feature extraction,29,4.8495
2021,Estimation,4,0.6689
2021,Videos,9,1.505
2021,Cameras,5,0.8361
2021,Facial recognition,1,0.1672
2021,Training data,10,1.6722
2021,Gaussian processes,2,0.3344
2021,Predictive models,6,1.0033
2021,Delays,1,0.1672
2021,Acoustic measurements,1,0.1672
2021,Acoustics,3,0.5017
2021,Convolutional neural networks,1,0.1672
2021,Linguistics,2,0.3344
2021,Computational modeling,20,3.3445
2021,Pathology,1,0.1672
2021,Speech recognition,10,1.6722
2021,Neurological diseases,1,0.1672
2021,Biomarkers,2,0.3344
2021,Frequency-domain analysis,1,0.1672
2021,Discrete wavelet transforms,1,0.1672
2021,Mutual information,1,0.1672
2021,Time-domain analysis,1,0.1672
2021,Data collection,2,0.3344
2021,Time-frequency analysis,1,0.1672
2021,Sampling methods,1,0.1672
2021,Sensors,6,1.0033
2021,Mobile handsets,1,0.1672
2021,Smart phones,1,0.1672
2021,Autism,4,0.6689
2021,Data mining,3,0.5017
2021,Kinematics,1,0.1672
2021,Games,5,0.8361
2021,Streaming media,3,0.5017
2021,Media,2,0.3344
2021,Tagging,3,0.5017
2021,Multimedia databases,1,0.1672
2021,Adversarial machine learning,1,0.1672
2021,Testing,1,0.1672
2021,Training,4,0.6689
2021,Generative adversarial networks,3,0.5017
2021,Data models,8,1.3378
2021,Speech processing,1,0.1672
2021,Dynamics,1,0.1672
2021,Image recognition,2,0.3344
2021,Visualization,14,2.3411
2021,Heuristic algorithms,2,0.3344
2021,Optical imaging,2,0.3344
2021,Support vector machines,5,0.8361
2021,Face recognition,10,1.6722
2021,Databases,6,1.0033
2021,Brain-computer interfaces,1,0.1672
2021,Real-time systems,2,0.3344
2021,Electromagnetic compatibility,1,0.1672
2021,Mood,5,0.8361
2021,Motion control,1,0.1672
2021,Microscopy,1,0.1672
2021,Depression,1,0.1672
2021,Hidden Markov models,2,0.3344
2021,Adaptation models,2,0.3344
2021,Lips,1,0.1672
2021,Music,4,0.6689
2021,Lighting,1,0.1672
2021,Image color analysis,2,0.3344
2021,Content analysis,1,0.1672
2021,Grammar,1,0.1672
2021,Educational technology,1,0.1672
2021,Facial features,1,0.1672
2021,Detectors,2,0.3344
2021,Computer vision,3,0.5017
2021,Human computer interaction,2,0.3344
2021,Heart rate,2,0.3344
2021,Neural networks,4,0.6689
2021,Machine learning,6,1.0033
2021,Deep learning,5,0.8361
2021,Legged locomotion,2,0.3344
2021,Three-dimensional displays,2,0.3344
2021,Motion analysis,1,0.1672
2021,Taxonomy,1,0.1672
2021,Market research,2,0.3344
2021,Human factors,1,0.1672
2021,Animation,1,0.1672
2021,Sentiment analysis,2,0.3344
2021,Analytical models,8,1.3378
2021,Cognition,4,0.6689
2021,Context modeling,3,0.5017
2021,Convolution,2,0.3344
2021,Task analysis,19,3.1773
2021,Decoding,2,0.3344
2021,Regulation,1,0.1672
2021,Tools,3,0.5017
2021,Particle measurements,2,0.3344
2021,Software,1,0.1672
2021,Atmospheric measurements,3,0.5017
2021,Recurrent neural networks,2,0.3344
2021,Biological system modeling,4,0.6689
2021,Brain modeling,6,1.0033
2021,Load modeling,1,0.1672
2021,Reliability,2,0.3344
2021,Electromyography,3,0.5017
2021,Computer architecture,5,0.8361
2021,Pain,2,0.3344
2021,Probabilistic logic,3,0.5017
2021,Social networking (online),2,0.3344
2021,Semantics,3,0.5017
2021,Gold,1,0.1672
2021,Production,1,0.1672
2021,Cultural differences,1,0.1672
2021,Electrodes,2,0.3344
2021,Time series analysis,1,0.1672
2021,Distance measurement,1,0.1672
2021,Stress,4,0.6689
2021,Oscillators,1,0.1672
2021,Blood pressure,1,0.1672
2021,Artificial intelligence,2,0.3344
2021,Computational efficiency,1,0.1672
2021,Psychology,6,1.0033
2021,Special issues and sections,2,0.3344
2021,Pediatrics,2,0.3344
2021,Tablet computers,1,0.1672
2021,Motion pictures,5,0.8361
2021,Knowledge engineering,1,0.1672
2021,Robustness,1,0.1672
2021,Surface morphology,1,0.1672
2021,Surface reconstruction,1,0.1672
2021,Medical diagnostic imaging,1,0.1672
2021,Observers,1,0.1672
2021,Robots,5,0.8361
2021,Electric breakdown,1,0.1672
2021,Neuroscience,3,0.5017
2021,Mathematical model,3,0.5017
2021,Medical treatment,1,0.1672
2021,Emotional responses,1,0.1672
2021,Social network services,2,0.3344
2021,Correlation,3,0.5017
2021,Programming,2,0.3344
2021,Intelligent systems,1,0.1672
2021,Object recognition,1,0.1672
2021,Probablistic logic,1,0.1672
2021,Pattern recognition,1,0.1672
2021,Signal processing,1,0.1672
2021,Electrocardiography,1,0.1672
2021,Object oriented modeling,1,0.1672
2021,Cognitive systems,1,0.1672
2021,Cognitive processes,1,0.1672
2021,Robot kinematics,1,0.1672
2021,Education,1,0.1672
2021,Reinforcement learning,1,0.1672
2021,Robot learning,1,0.1672
2021,Spatiotemporal phenomena,2,0.3344
2021,Sensory aids,1,0.1672
2021,Haptic interfaces,1,0.1672
2021,Numerical analysis,1,0.1672
2021,Transfer learning,1,0.1672
2021,Learning data,1,0.1672
2021,Spectral analysis,1,0.1672
2021,Hippocampus,1,0.1672
2021,Thermal energy,1,0.1672
2021,Biological control systems,2,0.3344
2021,Imaging,1,0.1672
2021,Biofeedback,1,0.1672
2021,Biomedical monitoring,1,0.1672
2021,Vehicle driving,1,0.1672
2021,Vehicle safety,1,0.1672
2021,Pose estimation,1,0.1672
2021,Gesture recognition,1,0.1672
2021,Informatics,1,0.1672
2021,Software architecture,1,0.1672
2021,Intelligent agents,1,0.1672
2021,Performance evaluation,1,0.1672
2021,Phonetics,1,0.1672
2021,Probability distribution,1,0.1672
2021,Authentication,1,0.1672
